,oficial_mensual,promedio_diaria,cierre_diaria,dif_vs_promedio,dif_vs_cierre
2015-11-01,704.002380952381,704.002380952381,712.63,0.0,8.627619047618964
2015-12-01,704.24,704.238,707.34,0.0019999999999527063,3.1000000000000227
2016-01-01,721.95,721.9480000000001,711.72,0.0019999999999527063,10.230000000000018
2016-02-01,704.08,704.084761904762,689.18,0.004761904761949154,14.900000000000091
2016-03-01,682.07,682.0677272727272,675.1,0.0022727272728388925,6.970000000000027
2016-04-01,669.93,669.932380952381,663.4,0.0023809523810314204,6.529999999999973
2016-05-01,681.87,681.8704545454545,690.27,0.00045454545454504114,8.399999999999977
2016-06-01,681.07,681.0719047619048,661.49,0.0019047619047114495,19.58000000000004
2016-07-01,657.57,657.5671428571428,664.94,0.0028571428572377044,7.3700000000000045
2016-08-01,658.89,658.8904545454545,673.17,0.00045454545454504114,14.279999999999973
2016-09-01,668.63,668.632380952381,659.08,0.0023809523810314204,9.549999999999955
2016-10-01,663.92,663.922105263158,651.65,0.0021052631580005254,12.269999999999982
2016-11-01,666.12,666.117619047619,675.48,0.0023809523810314204,9.360000000000014
2016-12-01,667.17,667.1680952380952,667.29,0.0019047619047114495,0.12000000000000455
2017-01-01,661.19,661.1942857142857,648.87,0.004285714285629183,12.32000000000005
2017-02-01,643.21,643.2095,645.19,0.0004999999999881766,1.9800000000000182
2017-03-01,661.2,661.2026086956522,662.66,0.0026086956521567117,1.4599999999999227
2017-04-01,655.74,655.7433333333333,664.28,0.0033333333333303017,8.539999999999964
2017-05-01,671.54,671.5395454545454,675.31,0.00045454545454504114,3.769999999999982
2017-06-01,665.15,665.1533333333334,663.21,0.0033333333334439885,1.9399999999999409
2017-07-01,658.17,658.1714285714286,651.58,0.0014285714286188522,6.589999999999918
2017-08-01,644.24,644.2418181818182,628.36,0.0018181818181801646,15.879999999999995
2017-09-01,625.54,625.5415789473685,636.85,0.0015789473685572375,11.31000000000006
2017-10-01,629.55,629.5465,636.49,0.003499999999917236,6.940000000000055
2017-11-01,633.77,633.7676190476191,642.41,0.0023809523809177335,8.639999999999986
2017-12-01,636.92,636.9236842105263,615.22,0.0036842105263303893,21.699999999999932
2018-01-01,605.53,605.5286363636363,604.42,0.0013636363636351234,1.1100000000000136
2018-02-01,596.84,596.839,589.15,0.0009999999999763531,7.690000000000055
2018-03-01,603.45,603.4452380952381,605.26,0.004761904761949154,1.8099999999999454
2018-04-01,600.55,600.547619047619,605.74,0.0023809523809177335,5.190000000000055
2018-05-01,626.12,626.1190476190476,628.33,0.0009523809524125681,2.2100000000000364
2018-06-01,636.15,636.1461904761904,647.95,0.0038095238095365858,11.800000000000068
2018-07-01,652.41,652.4069999999999,638.79,0.0030000000000427463,13.620000000000005
2018-08-01,656.25,656.2509090909091,675.38,0.0009090909090900823,19.129999999999995
2018-09-01,680.91,680.9147058823529,661.5,0.0047058823529368965,19.409999999999968
2018-10-01,676.84,676.8409090909091,693.31,0.0009090909090900823,16.469999999999914
2018-11-01,677.61,677.612,669.43,0.0019999999999527063,8.180000000000064
2018-12-01,681.99,681.9868421052631,695.69,0.0031578947368871013,13.700000000000045
2019-01-01,677.06,677.0618181818182,666.76,0.0018181818182938514,10.299999999999955
2019-02-01,656.3,656.3045,649.92,0.004500000000007276,6.3799999999999955
2019-03-01,667.68,667.6785714285714,681.09,0.0014285714285051654,13.410000000000082
2019-04-01,667.4,667.3990476190476,677.67,0.0009523809524125681,10.269999999999982
2019-05-01,692.0,692.0038095238095,707.86,0.0038095238095365858,15.860000000000014
2019-06-01,692.41,692.409,679.86,0.0009999999999763531,12.549999999999955
2019-07-01,686.06,686.0595454545454,699.98,0.00045454545454504114,13.920000000000073
2019-08-01,713.7,713.7033333333334,720.65,0.0033333333333303017,6.949999999999932
2019-09-01,718.44,718.4422222222222,725.68,0.00222222222214441,7.239999999999895
2019-10-01,721.03,721.0322727272727,726.34,0.0022727272727252057,5.310000000000059
2019-11-01,776.53,776.53,828.25,0.0,51.72000000000003
2019-12-01,770.3905,770.3905,744.62,0.0,25.77049999999997
2020-01-01,772.647727272727,772.6477272727273,797.96,2.2737367544323206e-13,25.31227272727301
2020-02-01,796.38,796.3795,816.26,0.0004999999999881766,19.879999999999995
2020-03-01,839.375454545455,839.3754545454544,846.3,5.684341886080801e-13,6.924545454544955
2020-04-01,853.379047619048,853.3790476190476,836.62,4.547473508864641e-13,16.759047619048033
2020-05-01,821.805263157895,821.8052631578947,812.74,2.2737367544323206e-13,9.065263157894947
2020-06-01,793.718095238095,793.7180952380953,816.36,3.410605131648481e-13,22.64190476190504
2020-07-01,784.729090909091,784.7290909090909,754.45,1.1368683772161603e-13,30.279090909090996
2020-08-01,784.661904761905,784.6619047619048,779.92,2.2737367544323206e-13,4.741904761905062
2020-09-01,773.402380952381,773.402380952381,784.46,0.0,11.057619047619028
2020-10-01,788.267142857143,788.2671428571429,770.45,1.1368683772161603e-13,17.817142857142926
2020-11-01,762.88,762.884761904762,766.69,0.004761904761949154,3.810000000000059
2020-12-01,734.733,734.733,711.24,0.0,23.492999999999938
2021-01-01,723.556,723.5559999999999,741.4,1.1368683772161603e-13,17.843999999999937
2021-02-01,722.6265,722.6265000000001,708.04,1.1368683772161603e-13,14.586500000000001
2021-03-01,726.366086956522,726.3660869565217,732.11,3.410605131648481e-13,5.74391304347796
2021-04-01,707.845238095238,707.8452380952381,705.09,1.1368683772161603e-13,2.755238095237928
